first_name,last_name,position,team,timestamp,type
Derrick,Rose,PG,Thailandia,"Mon, 25 Jan 2016 02:49:11",add
Garrett,Temple,"PG,SG",Thailandia,"Mon, 25 Jan 2016 02:49:11",drop
Alex,Len,"PF,C",Thailandia,"Sun, 24 Jan 2016 15:19:05",add
Norris,Cole,"PG,SG",Thailandia,"Sun, 24 Jan 2016 15:19:05",drop
Archie,Goodwin,"PG,SG",Cool Cats,"Sun, 24 Jan 2016 03:26:26",add
Kobe,Bryant,"SG,SF",Cool Cats,"Sun, 24 Jan 2016 03:26:26",drop
Tyson,Chandler,C,Valar Moredunkis,"Sun, 24 Jan 2016 01:07:04",add
Jusuf,Nurkic,C,Valar Moredunkis,"Sun, 24 Jan 2016 01:07:04",drop
Norris,Cole,"PG,SG",Thailandia,"Thu, 21 Jan 2016 21:01:44",add
Markieff,Morris,"PF,C",Thailandia,"Thu, 21 Jan 2016 21:01:44",drop
